,epoch,train loss,train accuracy,validate loss,validate accuracy
0,1,0.21673261267003982,93.62166666666667,0.013200162822365273,97.53
1,2,0.0682917375299734,97.87666666666667,0.008593423093449069,98.43
2,3,0.05005911300440372,98.44,0.0072582296339292595,98.65
3,4,0.03992281052472466,98.765,0.006597958927981427,98.64
4,5,0.033457960682185886,99.02,0.005953155536294743,98.81
5,6,0.02902119527054605,99.12833333333333,0.0048950805369835804,98.86
6,7,0.023517970168312242,99.29666666666667,0.006066932401037837,98.76
7,8,0.021782089865287152,99.335,0.004537104866179868,99.04
8,9,0.01845305439700727,99.43166666666667,0.0053374965240289346,98.91
9,10,0.015934764296465516,99.51833333333333,0.004824884955232381,99.01
10,11,0.013878395356696972,99.585,0.004589117845354387,99.06
11,12,0.012494403622876911,99.65333333333334,0.004980441347004919,99.08
12,13,0.010985957598572769,99.68333333333334,0.005135141408582659,99.04
13,14,0.009516906683374531,99.745,0.005071521550473087,98.99
14,15,0.008774250586501208,99.76166666666667,0.005299585452796725,98.96
15,16,0.007711194431235982,99.82333333333334,0.005405891336587921,98.97
16,17,0.0069327195848184935,99.83333333333333,0.00529534729952626,98.94
17,18,0.006390765189520964,99.87333333333333,0.0054450053917212545,99.02
18,19,0.005711847828241667,99.87666666666667,0.005362180502363926,98.99
19,20,0.005317339435021064,99.88833333333334,0.005360272467315681,99.03
20,21,0.004896159577973387,99.89666666666666,0.005627556682762023,98.95
21,22,0.00448388577147011,99.92833333333333,0.005430654918088778,99.02
22,23,0.004116465038558221,99.94,0.0055390144991086035,98.99
23,24,0.003923001478720284,99.94166666666666,0.005552945506707192,99.06
24,25,0.0036157127994434334,99.95833333333333,0.005962594088558785,98.91
25,26,0.003424744502399432,99.96,0.005684796663157948,99.02
26,27,0.003263407277761111,99.95833333333333,0.005662802434345886,99.02
27,28,0.003043221512650752,99.97,0.005871066635084493,98.97
28,29,0.0029568134026604874,99.97,0.005961305230414806,98.98
29,30,0.002848074118069497,99.975,0.005968443613356922,98.99
